Russian	Predicted	Truth
друг	друг	друг
а у старушка весь быть	а у 3ps старый все есть	3ps у 3ps старый все есть
наслаждение	наслаждение	наслаждаться
я любить сосиска	1ps сосиски 1ps любить	1ps сосиски 1ps любить
ветер здесь до м с	ветер до <nums> м секунда	ветер до <nums> м секунда
нужно изменять себя внутри переставать заставлять себя и жертвовать себя	нужно внутри.себя изменять себе заставлять3 нет2 отдавать.себя	нужно внутри.себя изменять себе заставлять3 нет2 отдавать.себя нет2
необходимо привозить оборудование который предоставлять электричество	необходимость привозить оборудование который предоставлять электричество	необходимость собственность clf clf.взять clf.привезти оборудование электричество деньги clf clf.взять clf.привезти необходимость доставка
ругать	ругать	ругать2
падать снег и быть темно	идет снег был ночь	идет снег был ночь
грубый	грубый	грубый
слышать всегда смотреть на то какой вы команда если сильный вы быть работать	слышащий 3ps pl видеть команда какой 2ps pl если сильный будет	слышащий 3ps pl видеть команда какой 3ps команда сильный будет делать
получаться столбец не связанный слабо связанный средне связанный сильно связанный	получать2 столбец н-е так.себе слабый связать норма	получать2 clf 4.столбца первый здесь связать пустой так.себе связать норма нет2 столбец связать есть н-о так.себе слабый связать есть средний связать крепкий
попадать	clf clf.свет clf.выключить	попасть clf clf.что
я начинать этот занимать в год и обучение там длиться день с утро до самый вечер	1ps начинать работать2 <nums> год и <nums> с утра до вечера учиться	1ps начинать был <nums> indx день <nums> учиться с утра до вечера учиться
и он вернуться к себя в комната вытаскивать большой запылить книга и приниматься она читать	студент2 обратимый домой собственный комната clf clf.книга clf.тяжел	студент2 обратимый домой комната собственный книга clf clf.книга clf.большая clf.тяжелая протирать <dact> протирать и clf clf.открыть clf.книгу начинать взглянуть читать
отношение быть меняться	отношение менять	отношения изменять будет
можно ли в ваш регион подписывать соглашен о трудоустройство человек с инвалидность в другой организация	можно н-о ваш регион подписывать соглашаться о трудоустройство инвалид в	можно л-и poss 2ps регион подпись <dact> о трудоустройство инвалид другой организация
он никогда не быть в турция	турция никогда2	3ps никогда2 турция не был
или если у вы быть знакомый который знать финский жестовый язык передавать он этот информация пожалуйста	или у есть знакомыйpl 2ps знать жестовый.язык2 финляндия 2ps	или у есть знакомый 3ps знать жестовый.язык2 финляндия 2ps передавать пост2 видеть отправлять пожалуйста
подымать	подымать	clf clf.поднимать
я видеть что вокруг много молодой человек школьник который не думать куда поступать а думать куда пойти они друг или куда направлять они родитель	1ps видеть вокруг много молодой и школа 1ps думать куда поступать	так 1ps замечать вокруг много молодой и школа думать 1ps куда поступать брать.пример.с друг родители 3ps заставлять2 1ps
у третьяков быть хобби он быть меценат и оплачивать строительство школа для глухой ребенок выделять целый тысяча на это и в год построить трехэтажный здание школа	третий и <dact> есть хобби 3ps деньги финансирование забота семья школа	и <dact> 3ps <nums> дело хобби 3ps деньги финансирование забота семья школа для глухой <nums> тысяч отправить з-а строить clf clf.здание строить <nums> год этаж <nums> здание
тамара долго идти по почти непролазный дорога и вдруг увидеть дым из труба один из дом она обрадоваться побежать подавать и весь грязный добираться наконец до это дом	<dact> медленно дорога был плохой стремный н-о глаз дом дым	ходить медленно место дорога был неприятный стремный н-о глаз indx дом дым и видеть бежать2 падать2 плакать тело грязь добраться до это indx дом
мы радоваться когда гладить котенок и чужой слово влиять на наш настроение	когда2 радоваться радость когда2 гладить2 например кот indx что глад	когда2 мы радоваться радоваться что видеть например кот indx что гладить2 слово чужой сказать 1ps влиять 1ps настроение
хм а кто же будет кучер	хм кто будет кучер	задуматься кто 3ps будет кучер
там быть мой кворки нажимать создавать кворк	indx <dact> <dact> indx строка создавать <dact>	indx <dact> <dact> indx строка создать <dact>
смотреть как он обучать что нужно добавлять	смотреть2 обучать что необходимость добавить	<dact> clf clf.человек обучать2 что необходимость добавить
мой отец бояться мачеха	poss 1ps папа мама второй бояться3	poss 1ps папа мама второй бояться3 бояться
к сожаление фотография прабабушка и прадедушка родитель бабушка и дедушка не сохраняться поэтому на это дерево весь начинаться с бабушка и дедушка	сожаление фотокамера <dact> дедушка <dact> родитель 3ps родители 3ps бабушка2	сожаление фотокамера <dact> дедушка <dact> бабушка2 отсутствие 3ps родители 3ps бабушка2 дедушка отсутствие сохранять отсутствие поэтому indx дерево все начать бабушка2 и дедушка
ну в общий это вс что я хотеть сказать	все результат 1ps желание сказать	все результат 1ps желание сказать
это желание будет помогать копить	это желание будет помогать копить	это желание 1ps помогать 1ps копить будет
ленивый	ленивый2	ленивый2
муравьед любить кушать насекомое авокадо цитрусовый	<dact> еда птица2 <dact> апельсин <dact> еда обожать2	3ps еда <dact>- паук <dact> апельсин <dact> еда обожать2
зато рейтинг высокий и много заказ а у он все заказ быть отзыв	3ps высший и заказpl много у 3ps 3ps заказ бытьpl <dact>	3ps высший р-е- заказ pl много у 3ps <nums> 3ps заказ быть pl <dact>
когда у маленький дед мороз весь подарок быть готовый остальной вс думать что снова надо будет ехать дарить ребенок подарок возвращаться домой что это очень скучно	когда2 подарок маленький все подарок готовый это ждать все дед.	3ps подарок похоже готово clf clf.коробки clf.расставить готово это ждать все дед.мороз неинтересно опять2 не.хотеть ехать.поездом дети подарок pl назад домой не.хотеть похоже неинтересно поэтому думать обсудить пусть
еще раз хотеть сказать что каждый момент свой жизнь нужно наполнять радость	еще раз хотеть сказать каждый момент свой жизнь нужно наполнять рад	еще раз хотеть сказать каждый момент свой жизнь нужно наполнять радость
костик и мишка сказать тоже где ты быть что с ты приключаться рассказывать	<dact> <dact> 3ps и 3ps тоже где был случай что 2ps рассказывать 1ps	еще <dact> <dact> 3ps спрашивать 1ps тоже где был случай что 2ps рассказывать 1ps
семен по путь с работа забирать дочка из садик и к ужин они всегда быть дом но не в этот злосчастный день	<dact> работать clf clf.человек clf.идет 3ps забирать 3ps дочь	<dact> работать clf clf.человек clf.идет 1ps забирать 3ps дочь и-з дети <dact> и вечер всегда2 домой еда стол н-о попадать день беда
и по свисток начинать собирать человек на съезд в москва начинаться беготня в общий постанавливать собирать человек в москва в июль год	и свистеть начинать clf clf.люди clf.собираются	и свистеть начинать clf clf.люди clf.собираются clf.в clf.одном clf.месте съезд москва попал беготня общий постановить clf clf.люди clf.приходят москва <dact> <nums> год2 <dact> clf clf.люди clf.приходят
как жираф	жираф похоже	жираф похоже
смотреть результат быть	смотреть результат был	смотреть иметь результат
краудфандинг	<dact>	<dact>
когда вы себя насиловать унижать у вы нет уважение к себя вы не в состояние что-то давать	похоже отдавать.себя себе унижение себе уважать себе уважать нет2	похоже отдавать.себя себе унижение себе уважать 1ps нет2 похоже 1ps не мочь давать pl
однажды они зайти в лесной глушь	вдруг лес глушь	вдруг лес внутри
мама он сразу начало учить я жизнь что я должный муж беспрекословно во весь слушаться и сразу выполнять весь что он требовать	мама 3ps начинать учить2 1ps жизнь что 1ps муж должен был послушный2	мама poss 3ps начинать 3ps учить2 1ps <dact> жизнь что 1ps муж должен был послушный2 3ps заказывать 1ps 3ps приказать 1ps 3ps требовать 1ps 1ps выполнить
я работать уже давно с начало создание адаптиса	1ps работать2 долго <nums> начинать создание2 <dact>	1ps стаж2 давно все4 работать2 когда начинать создавать2 sn
без знание жестовый язык этот ребенок не являться CODA	жестовый.язык не.знать слышащий кода нет 3ps	жестовый.язык не.знать считать2 н-е кода нет 3ps
нордис в г новосибирск	<dact> новосибирск здесь	<dact> новосибирск здесь
благодаря плодоножка вишня в организм не накапливаться лишний жидкость а в жировой ткань активизироваться процесс микроциркуляция	благодаря плодоножка вишня indx внутри.себя накапливаться лишний	еще clf clf.плодоножка indx indx н-е 3ps давать 1ps добавлять жидкий лишний внутри.себя и активный промежуток.времени управлять <dact> внутри.себя ткань
они поехать в приют и предлагать вместе с они собака пойти на долгий прогулка	3ps поехать <dact> приют 3ps предлагать вместе собака и гулять долго	<dact> поехать место <dact> и нейтр.имп вместе собака poss 3ps забирать и гулять долго
я вс учитывать и тогда я получать удовольствие от работа потому что она быть в кайф	1ps учить2 1ps н-о 1ps деньги 3ps желание о-	1ps все считать2 и 3ps pl удовольствие 1ps работать почему indx кайф3
вообще весь человек журналист ленивый	все журналист все человекpl ленивый все	все журналист все человек pl ленивый все
я удаваться оформлять кредит благодаря то что в банк к мой проблема относиться с понимание	1ps мочь2 оформлять кредит благодаря понимать 1ps poss 1ps проблема2	1ps мочь2 оформлять кредит почему благодаря понимать 1ps есть проблема2
готовый	готовый	готовый
потом няня становиться жалко кролик но доктор сказать надо сжигать и давать новый	потом няня смотреть жалость кролик доктор2 надо спрашивать доктор да	потом 2ps няня2 смотреть жаль врач2 спрашивать доктор2 indx кролик indx так огонь новый давать
но вы сам понимать что связь у я не так много но то не менее шанс уже быть у вы быть шанс получать помощь	н-о у 1ps понимать зависеть мало временный есть 2ps pl есть шанс	н-о у 1ps понимать2 зависеть мало временный есть 2ps pl <dact> есть радость 2ps спрашивать 1ps
и плюс всегда развиваться учиться идти вперед	плюс всегда лучше учить2 развивать	и плюс всегда развитие учиться идти.вперед
и если милиция я не находить	и если милиция 1ps 1ps искать н-е еда не был	вдруг indx милиция 1ps 1ps искать 3ps успех нет
спонсор готовый платить я выполнять проект в это город нехватать мыло я сообщать спонсор получать мыло и раздавать	платить2 согласие платить2 1ps выполнять проект indx город indx не.хватать	платить2 согласие постоянный платить2 1ps проект выполнять сдать pl город indx не.хватать 1ps объявлять 3ps clf clf.взять clf.мыло сдать pl
сейчас глухой начинать активно заниматься индивидуальный предпринимательство и это плюс потому что они становиться независимый	все и-п мочь плюс заниматься <dact> плюс это независимый	все и-п мочь indx плюс потому что свой зависимость не
они наблюдать и чувствовать что необходимо создавать общество для ребенок CODA	3ps pl наблюдать общество для ребенок чувствовать что необходимость создавать2	смотреть pl чувствовать что нужно создавать2 общество группа для кода
либо где можно находить спонсор чтобы получаться сокращать количество деньги и расход быть по ноль	или где можно находить спонсор что составлять получаться деньги кратко расход	или где можно находить спонсор что составлять получаться деньги кратко расходы ничего
кто-то печ т торт кто-то фотографировать работать в такси и развивать автопарк кто-то заниматься ремонт	кто торт печь кто фотография2 достигать кто такси подготовка автомобиль <dact>	кто торт печь кто фотография2 достигать кто такси подготовка автомобиль <dact> развитие кто ремонт
я очень рад что быть выбор профессия специальность	1ps очень радостный есть выбор профессия специальность	1ps очень радостный есть выбор профессия специальность
она помогать она заниматься научать готовить печь шить они часто вместе гулять ходить в музей и на выставка	помощь это обучать2 готовить пирог шить вместе часто прогулка	помощь учиться 1ps учить2 3ps готовить пирожки пирог шить вместе часто прогулка музей выставка смотреть2
также от до процент калорийность идти на пищеварение	еще о-т <nums> до <nums> процент калорийность идти	еще о-т <nums> до <nums> процент <dact> мы тратить н-а пищеварение
многий из они еще и работать переводчик в вуз	и 3ps pl много посетить переводчик работать посещать.и.то.и	и 3ps pl переводчик много посетить <dact> переводить работать посещать.и.то.и.это
встреча	встретить	встретить
я говорить что нужно сюда а он в другой место доставлять	1ps доставка 3ps 1ps не indx	1ps не 1ps indx доставка 3ps 1ps 3ps не indx
гость ничто не купить к чай	гостьpl ничего3 деньги не <dact> чай	гость pl ничего3 деньги не <dact> чай indx
это он собака	это собака	это poss 3ps собака
да да постоянно калька	да да калька2pl	да да калька2 pl
я состоять в ассоциация слышать гид	1ps слышать включать слышащий включать гид	1ps есть включать содружество <dact> проводить <dact> слышащий включать
дом красиво украшаться весь делать друг друг подарок вместе играть и танцевать	дом красивый украшать все подарокpl друг.друга игра танцевать	дом красивый украшать все делать подарок подарок2 все семья игра танцевать
мы отда м себя полностью и жд м любовь к себя	отдавать.себяpl ждать2 любить себе	отдавать.себя pl ждать2 любить себе
важный использовать бальзам если волос повреждать и торчать	<dact> clf clf.волосы clf.торчат получаться clf clf.вол	бывает clf clf.волосы clf.торчат получаться clf clf.волосы clf.повреждены волосы clf clf.волосы clf.повреждены получается clf clf.волосы clf.повреждены сломанный clf clf.волосы clf.торчат получаться
не ловко ну да ладно	неудобно2 ладно	неудобно2 ладно
как это на жестовый передавать	жест как передавать	жест как передавать
солдат посолить и снова попробовать	солдат новый уже clf clf.вылезти clf.на clf.	солдат немного солить новый пробовать
ведь это самый настоящий кошмар	страшный будет	страшный будет
допускать к вы приш л пациент со свой проблема и вы выяснять что у он быть психосоматический влияние	случай пример человек clf clf.человек clf.приближается у 3ps есть	случай пример человек clf clf.человек clf.приближается у 3ps есть проблема2 3ps видеть что у 3ps есть мозг <dact>
выделять деньги на школа	выделять деньги н-а школа	школа clf clf.выделять clf.деньги
когда вы чувствовать себя хорошо и человек вокруг вы чувствовать себя хорошо уровень жизнь качественно поменяться	н-о 2ps pl хорошо когда2 2ps pl себя чувствовать хорошо	1ps хорошо 1ps делать для 3ps pl <dact> себе приятный все себе чувствовать хорошо жизнь уровень изменять
давать поговорить по душа	нейтр.имп. общаться душа	нейтр.имп. общаться душа
у он быть одежда	одежда2 у 3ps есть	одежда2 нет одежда2 у 3ps есть
на следующий день они вдвоем встречаться с орел	следующий день двое встреча орел встреча	следующий день двое встреча орел встреча
я из семья глухой мой мама и папа глухой	1ps семья глухой poss 1ps мама папа глухой	1ps семья глухой poss 1ps мама папа глухой
спрашивать у лощадь как быть всегда вместе с мальчик	спрашивать у лошадь вместе мальчик	обратиться мальчик вместе indx нет
когда быть просить мало деньги то и грант вы легко давать	деньги мало просить деньги мало грант легко	<dact> деньги мало просить деньги мало грант легко
находить	находить	находить
састье слышать	счастье слышать	счастье слышать
говорить	говорить	говорить
вога кормить себя плюс еще инвалид кормить	<dact> <dact> себя 1ps кормить 1ps плюс еще инвалид кормить 3ps	indx <dact> себя 1ps кормить 1ps плюс еще инвалид кормить 3ps
когда знать что быть резерв на душа спокойно а когда потратиться переживать лишний раз вдруг увольнять	когда2 знать что будет спокойный желание переживать желание	знать копить indx 1ps на.душе.спокойно 1ps выбросить переживать вдруг уволить думать лишний
я всерьез это никогда не воспринимать но когда увидеть он возмужать взрослый почувствовать как защемлять сердце	1ps <dact> воспринимать нет и видеть сегодня2 взрослый 1ps нравиться	1ps <dact> серьезно воспринимать нет и видеть сегодня2 взрослый 1ps нравиться
мужчина схватывать чемодан в один рука сумка в другой и на ход потому что поезд уже начинать медленно ехать вскакивать на ступенька	мужчина схватывать clf clf.взять clf.сумка clf 	мужчина2 взять <dact> clf clf.сумка clf.взять сумка clf clf.бежать что поезд начать clf поезд ехать и clf clf.человек clf.прыгнуть ступенька
деньги я не давать но выписывать рекомендательный письмо письмо поддержка начальство поставлять печать	1ps согласиться письмо поддерживать согласиться заполнять администратор печать качественный clf clf	1ps согласиться письмо поддерживать согласиться заполнять администратор печать качественный clf clf.держать clf.письмо clf.в clf.руке хорошо
в конец июнь начало июль уже созревать вишня черешня абрикос	начинать июнь начинать июль indx вишня <dact> <dact>	clf clf.плод clf.pl готовый последний3 июнь начинать июль indx вишня <dact> <dact>
сахар в кровь расти а вслед за этот расти и количество инсулин	сахар indx расти а вслед расти меньше <dact> расти	сахар в красный увеличивать множественный и плюс множественный <dact> добавлять pl
не то чтобы он не хотеть я слушать но просто он вс это быть безразлично	н-о 3ps н-е 3ps не хотеть 1ps слушать н-	мальчик н-е только не хотеть 1ps слушать тоже 3ps безразличие
он думать лишь о музыка а всякий знать что искусство эгоистично	3ps думать только2 о музыка все знать искусство <dact> только2 дума	3ps думать только2 о музыка все знать искусство indx только2 думать о себя pl
а ефросинья петровна надо я видно просыпаться от это грохот	<dact> бабушка <dact> и-з территория clf clf.разрезать clf 	<dact> <dact> открыть.глаза
можно делать сковоречник	мочь делать дом для птица	мочь делать дом для птица
когда реб нок чувствовать что он не один он начинать по-другому относиться к свой родитель открываться он	когда2 ребенок чувствовать что н-е <nums> нет а 1ps родители	1ps <nums> нет 1ps чувствовать открытый и начать относиться папа п-о другой
очень довольный	очень хорошо	очень довольно
за этот три год в инкубатор вы расти и становиться сильный но кроме этот пункт который я уже объяснять быть и другой способ получать деньги на свой проект	indx год <nums> выпускать2 <dact> уже clf clf.новость clf.у	год <nums> выпускать2 <dact> родиться больше уже сильный выпускать2 это множественный мочь другой талантливый 2ps проект есть все включено делать карьера
я звать елена	здравствуйте имя <dact>	здравствуйте 1ps имя <dact>
утом помогать запускать обмен вещество на максимальный скорость работа щитовидный железа давать прилив энергия и хороший настроение а вечер наоборот успокаивать настраивать на хороший сон и защищать от обжорство и ускорять расход жир из наш запас	утро помогать 1ps clf clf.процесс clf.на максимальный скорость clf	утро помогать 1ps clf clf.организм clf.процесс clf.начать максимум скорость clf clf.организм clf.процесс clf.работать работать2 щитовидная.железа ш clf clf.щитовидная clf clf.организм clf.процесс энергия clf clf.организм clf.процесс и настроение хорошо а вечер2 наоборот успокоить слабость спать хорошо защищать о-т еда pl нервный отсутствие <dact> тратить запас быстрый
ну вот же у ты готовый ответ	готовый ответ	готовый ответ
я заканчивать учиться пойти работать туда где быть глухой	1ps учиться работать2 место глухой	1ps учиться конец поступать2 работать2 место глухой
вот	вот	здесь
потом я подзывать свой ребенок который знать жестовый язык он весело подходить ко я	потом это 1ps подзывать 1ps дети 3ps знать жестовый язык 3ps начинать	потом ребенок poss 1ps ребенок нейтр.имп ребенок оживленный нейтр.имп 1ps жестовый язык знать clf clf.подойти нейтр.имп
начинать дуть ветер	ветерpl начинать	ветер pl начинать
в холодильник нет еда	холодно indx еда нет2	холодно indx еда нет2 ноль скелет2
что же делать	что делать	что делать
ты бояться даже ветер	2ps бояться даже ветер	2ps бояться даже ветер
в понедельник мы быть проводить прямой эфир	завтра будет проводить прямой эфир	у 1ps будет понедельник завтра будет проводить п-э
Ещ дедушка с антон хотеть сделать семейный древо	следующий2 дедушка желание делать дерево ветвьpl семья	еще дедушка вместе <dact> желание делать дерево ветвь pl семья
семья это сложный но жить один невозможно	семья это сложный н-о счастье жить <nums> невозможный	семья это сложный н-о счастье жить <nums> невозможный
конечно нужно чтобы кто-то вызывать скорый помощь	н-о вдруг 1ps кто помощь вызывать нужно	конечно нужно чтобы кто заметить indx вызвать <nums>
тома находить в себя сила прощать муж хоть и даваться она это нелегко	<dact> начинать ходить себя сила прощать мальчик муж действительно был тяжелый	<dact> успех себя сильный прощать2 мальчик муж действительно был тяжелый
работник китайский магазин в нью-йорк взять он в магазин и он оставаться там на год	работник китайский магазин нью-йорк взять работник китайский	магазин нью-йорк китай магазин взять и оставить <nums> время
вечерний капсула пролонгировать лимфодренажный эффект получать на первый шаг	вечер капсула indx <dact> прогреметь жидкий 1 <dact> был 3ps давать	вечер капсула indx <dact> жидкий 1 <dact> был 3ps давать 1ps indx управлять clf clf.выравнивать
да вредить	наносить.вред	наносить.вред
борис джонсон болеть в март	<dact> <dact> заболеть был <nums> март	3ps <dact> <dact> заболеть был <dact>
сестра пойти на бал а я нет	сестра двое уезжать бал 1ps не будет	сестра двое уезжать бал 1ps не будет
в мой город нет аэропорт	poss 1ps город аэропорт нет2	poss 1ps город аэропорт нет2
мочь быть я смочь взламывать сенсор ааа он на работа	мочь быть 1ps взламывать сенсор аа работа	мочь 1ps мочь сломать clf clf.сенсор clf clf.стучать 2ps работать2 занято
узкий	узкий	clf clf.тонкий
вот уже не думать что из топор такой вкусный каша мочь получаться	<dact> у-ж н-е думать не что и-з топор2	<dact> у-ж н-е думать не что и-з топор2 так хорошо <dact> мочь готовить
вс вокруг начинать зеленеть и цвести птица прилетать	все круговое движение зеленый и птица2 начинать	все круговое движение начать зеленый начать цветы птица
а однажды в ателье зайти женщина в возраст она долго рассматривать я задавать вопрос а потом сказать что быть бы неплохо она сын познакомиться с такой девушка	а вдруг indx женщина в возраст indx женщина2 долго clf clf.с	и вдруг 3ps входить 1ps женщина возраст и пристальный взгляд 3ps вопрос.задавать 1ps потом 3ps отвечать 1ps б-ы poss 3ps сын 1ps девочка соединять знакомить
девочка она не понравиться	девочка мама нравиться нет	девочка мама смотреть не нравиться
в предыдущий видео мы говорить о то что мы потреблять слишком много разный вкусный еда но организм не мочь потратить весь этот энергия	предыдущий видео о только2 еда множественный 2ps pl потреблять	давно видео2 мы 1ps рассказывать 2ps что еда множественный еда некоторый вкусный а тратить indx электричество внутри.себя не мочь уже
легкий	легко	легко2
познакомиться я предлагать и я становиться заниматься резьба	знакомить 1ps предлагать 1ps 1ps заниматься резьба2	знакомить 3ps предлагать 1ps 1ps заниматься резьба2 карьера
когда в первый раз участвовать совсем ничто не понятно	когда2 первый раз <nums> понятный	раз <nums> куда не понимать первый второй третий
у крашеный волос цвет исчезать	волосы что цвет3 исчезновение	волосы что крашеный цвет3 исчезновение
давать ждать	нейтр.имп ждать2	нейтр.имп ждать2
вопрос вводить ли свой ребенок в сообщество глухой приводить ли на праздник участвовать ли в мероприятие	вопрос 2ps вводить свой дети вокруг глухой проводить мероприятие праздник уча	вопрос 2ps свой дети 2ps включать мир2 глухой проводить мероприятие праздник участвовать
самый плохой что это в климат краснодарский край это ветер	indx сам2 плохой что indx климат краснодар территория ветер	плохой крупный что indx климат краснодар территория ветер
спать далеко это я дениска	продолжать indx дяска	какой спать продолжать 1ps <dact> имя
я заходить в строка продавец туда заходить	1ps зайти строка продавец	1ps зайти строка продавец
рассказывать про человек про то как я здесь рождаться и про вс остальное	рассказывать человек <dact> тоже 1ps рождаться и жизнь все	будет о человек pl разнообразие 1ps здесь родить много разнообразие рассказывать будет
весь и у я быть удобный защитный средство	все4 и себя есть удобный защита прятать	все4 и себя есть удобный защита прятать защита
весь другой животное очень взволноваться	все другой животноеpl очень волнение2	все другой животное pl очень волнение2
он просто оглушать я	слышать звук	слышать звук
после урок идти к ребята	когда2 урок идти к дети	поздно урок приходить дети <dact>
так вот третьяков построить трехэтажный здание школа а рядом еще больница построить	indx третий третьяков этаж <nums> и больница2 clf clf.	3ps т-у создавать2 этаж <nums> и больница2 был строить clf clf.расположение clf.объектов clf.в clf.пространстве
почему это слово код являться популярный во весь мир	почему это слово <dact> популярный2 мир2	почему это слово <dact> популярный2 <nums> называть мир2
хорошо пока	хорошо пока хорошо	хорошо пока хорошо
мать обещание не сдерживать и после окончание школа оля уезжать в чужой город и там и оставаться	мама 3ps алкоголь нет2 проходить школа indx уезжать другой чужой город	мама 3ps алкоголь и проходить школа <dact> уезжать другой чужой город и indx зафиксировать
к пример я экскурсовод кто не приходить человек так называть экскурсант	представление <dact> <dact> кто человек приходить человекpl назвать <dact>	представление 1ps <dact> clf clf.толпа clf.движется clf.loc 3ps имя называть <dact>
я под кровать за двадцатьлет не то что созревать я там вполне перезревать	1ps лежать время 1ps детство уже уже уже изменять уже	1ps лежать <nums> время 1ps детство уже уже изменять взрослый будет
это федеральный государственный образовательный стандарт	это федеральный государственный образовательный стандарт	это poss 3ps государство печать наука, образование
я с она очень согласный	1ps с очень согласие	1ps мнение согласие
можно слепить снеговик	мочь делать шарpl шарpl	мочь делать <dact> шар pl
я думать что такой курс давать глухой новый возможность	1ps думать что курс давать глухой новый возможность	1ps думать что курс давать новый возможность для глухой
