Russian	Predicted	Truth
в результат слышать ребенок не давать жестовый язык	результат слышащий ребенок не давать жестовый язык	какой это н-е давать нет слышащий дети2 жестовый.язык
как это из топор можно сваривать каша	что из топор плюс сваривать каша	как <dact> и-з топор2 мочь готовить вопрос
животное встречаться влюбляться с первый взгляд подружиться и помогать друг друг выздоравливать	человек подружчать с родной взгляд подружчать с родной взгляд подруж	такой встреча <nums> 3ps 3ps животное2 <dact> влюбиться первый взгляд.друг.на.друга дружба друг.друга помогать 3ps 1ps pl здоровый
быть тот кто смотреть и говорить ну это же так просто и легко не смотреть	кто смотреть нормально главный плюс плюс плюс плюс плюс	мочь кто смотреть н-у простой легко2 все4 поэтому кто смотреть не.нужно
нечестный	нечестный нечестный нечестный нечестный нечестный нечестный не	честный нет
рано он называться иср а сейчас название новый истый	рано называть иср а сейчас называть иср а сейчас на	раньше был <dact> сейчас3 новый <dact>
фрукт уже практически нет	фрукт уже уже степень уже  практика уже  практика уже	плод pl мало уже
весь ребенок начинать изучать жестовый язык	результат indx подросток начинать изучать жестовый язык	ребенок уже начать задавать.вопросы жестовый язык
вдалеке увидеть деревня	вдалеке видеть деревня	смотреть деревня далеко3
сам смотреть что вы надо что не надо	сам смотреть что indx трудно желание что трудно дети трудно желание что трудно	сам2 смотреть как нужно что poss 2ps pl что не.нужно
и он высовываться из окно и сорвать она	испытывать из окно испытывать из окно испыт	студент2 clf clf.высовывать clf.голову clf.из clf.окна окно clf clf.высовываться clf.из clf.окна срывать clf clf.держать clf.цветок clf.в clf.руке
она быть такой же злой и вредный	indx шить такой женой женой женой женой женой женой женой	характер такой.же злость вред
вы так беседовать со свой ребенок	вы так беседовать со свой ребенок	тоже 2ps pl беседовать собственность дети2
делать нужно в определенный модификация	что необходимость необходимость необходимость необходимость модификация делать необходимость в определённый мод	н-о только2 делать в странный мода
следующий человек потерять слух во взрослый возраст	последовательно человек потерять слух во взрослый возраст	следующий2 человек pl кто оглохнуть взрослый
например первый это грант	есть  пример завод шить плюс вторый это грант	пример первый <dact>
мальчик ловить и крупный рыба	ребенок ловить и крупный рыба	мальчик ловить великий рыба2
первый это хлопок по спина	результатый это хлопок по спина	первый 1ps нужно спина clf clf.человек clf.выбить clf.инородное clf.тело
как сделать я	что сделать я	как делать 1ps
работа в команда похожий на профессиональный спорт	профессионал похожий на профессионалый спорт	indx и почему 1ps говорить объяснять команда indx такой профессионал спорт
здравствовать	здравствовать здравствовать	здравствуйте
на этот земля не расти ни кукуруза ни картошка	что ни расти ни кукуруза ни расти ни ку	земля территория расти <dact> картофель расти не мочь
что мы нужно сделать	что мы необходимость образование трудно делать что мы необходимость делать2 делать	что мы нужно делать
я быть делиться свой опыт	я так оставить свой опыт	1ps свой опыт будет 1ps делить советовать рассказ кто 3ps pl жестовый.язык
друг	приятель ненавидеть страна	друг
а у старушка весь быть	а у старушка старушка весь быть а у старушка весь	3ps у 3ps старый все есть
наслаждение	наслаждение на наслаждение	наслаждаться
я любить сосиска	я любить сосиска	1ps сосиски 1ps любить
ветер здесь до м с	ветер здесь доить до м срок срок срок срок срок с	ветер до <nums> м секунда
нужно изменять себя внутри переставать заставлять себя и жертвовать себя	есть сильность себя вчера 1ps : зафиксированный себя вчера 1ps	нужно внутри.себя изменять себе заставлять3 нет2 отдавать.себя нет2
необходимо привозить оборудование который предоставлять электричество	необходимость привозить техника который предоставлять электричество	необходимость собственность clf clf.взять clf.привезти оборудование электричество деньги clf clf.взять clf.привезти необходимость доставка
ругать	ругать ругать ругать ругать ругать ругать ругать ругать ругать ру	ругать2
падать снег и быть темно	падать снег и быть темно и темнота	идет снег был ночь
грубый	грубый грубый грубый грубый грубый грубый	грубый
слышать всегда смотреть на то какой вы команда если сильный вы быть работать	что выдуманный всегда нормально главный выдуманный всегда нормально главный	слышащий 3ps pl видеть команда какой 3ps команда сильный будет делать
получаться столбец не связанный слабо связанный средне связанный сильно связанный	что родной домбец не мочь столбец не мочь столбец не	получать2 clf 4.столбца первый здесь связать пустой так.себе связать норма нет2 столбец связать есть н-о так.себе слабый связать есть средний связать крепкий
попадать	похищать попадать	попасть clf clf.что
я начинать этот занимать в год и обучение там длиться день с утро до самый вечер	я начинать этот самый год действительно сильно	1ps начинать был <nums> indx день <nums> учиться с утра до вечера учиться
и он вернуться к себя в комната вытаскивать большой запылить книга и приниматься она читать	испытывать большая запылить больший запылить больший запылить	студент2 обратимый домой комната собственный книга clf clf.книга clf.большая clf.тяжелая протирать <dact> протирать и clf clf.открыть clf.книгу начинать взглянуть читать
отношение быть меняться	отношение действительно делать менять менять менять менять менять менять	отношения изменять будет
можно ли в ваш регион подписывать соглашен о трудоустройство человек с инвалидность в другой организация	есть плюс родной оглашение что мочь соглашение мочь соглашени	можно л-и poss 2ps регион подпись <dact> о трудоустройство инвалид другой организация
он никогда не быть в турция	indx ничто не мочь в Турция ничто ничто ничто	3ps никогда2 турция не был
или если у вы быть знакомый который знать финский жестовый язык передавать он этот информация пожалуйста	если у вы шить финский язык передавать финский или молярный язык действ	или у есть знакомый 3ps знать жестовый.язык2 финляндия 2ps передавать пост2 видеть отправлять пожалуйста
подымать	подымать подымать	clf clf.поднимать
я видеть что вокруг много молодой человек школьник который не думать куда поступать а думать куда пойти они друг или куда направлять они родитель	я видеть что вчера дети трудно дети трудно желание	так 1ps замечать вокруг много молодой и школа думать 1ps куда поступать брать.пример.с друг родители 3ps заставлять2 1ps
у третьяков быть хобби он быть меценат и оплачивать строительство школа для глухой ребенок выделять целый тысяча на это и в год построить трехэтажный здание школа	третьяк издавать плавание да	и <dact> 3ps <nums> дело хобби 3ps деньги финансирование забота семья школа для глухой <nums> тысяч отправить з-а строить clf clf.здание строить <nums> год этаж <nums> здание
тамара долго идти по почти непролазный дорога и вдруг увидеть дым из труба один из дом она обрадоваться побежать подавать и весь грязный добираться наконец до это дом	есть таможня продвигать испытывать дым из труба2 грязный	ходить медленно место дорога был неприятный стремный н-о глаз indx дом дым и видеть бежать2 падать2 плакать тело грязь добраться до это indx дом
мы радоваться когда гладить котенок и чужой слово влиять на наш настроение	мы радовать котенок и чужий язык действовать нормально главный плюс род	когда2 мы радоваться радоваться что видеть например кот indx что гладить2 слово чужой сказать 1ps влиять 1ps настроение
хм а кто же будет кучер	хм кто жевать кучер хм кто жевать кучер	задуматься кто 3ps будет кучер
там быть мой кворки нажимать создавать кворк	есть мочь создавать кворк нажимать кворк нажимать кворк на	indx <dact> <dact> indx строка создать <dact>
смотреть как он обучать что нужно добавлять	что обучать что необходимость образование добавлять что необходимость что необходимость образование добавлять что	<dact> clf clf.человек обучать2 что необходимость добавить
мой отец бояться мачеха	мы отец бояться мачеха	poss 1ps папа мама второй бояться3 бояться
к сожаление фотография прабабушка и прадедушка родитель бабушка и дедушка не сохраняться поэтому на это дерево весь начинаться с бабушка и дедушка	попугай не сохранять это дерево и дедушка и дедушка и дед	сожаление фотокамера <dact> дедушка <dact> бабушка2 отсутствие 3ps родители 3ps бабушка2 дедушка отсутствие сохранять отсутствие поэтому indx дерево все начать бабушка2 и дедушка
ну в общий это вс что я хотеть сказать	ни в общий это все что я трудно желание что я трудно	все результат 1ps желание сказать
это желание будет помогать копить	есть желание что желание помощь копченный копченный желание	это желание 1ps помогать 1ps копить будет
ленивый	ленивый ленивый ленивый ленивый ленивый ленивый	ленивый2
муравьед любить кушать насекомое авокадо цитрусовый	муравьед любить насекомые авокадо авокадо родкомые	3ps еда <dact>- паук <dact> апельсин <dact> еда обожать2
зато рейтинг высокий и много заказ а у он все заказ быть отзыв	indx фирма испытывать плюс 100 плюс 50 процент плюс 10 процент	3ps высший р-е- заказ pl много у 3ps <nums> 3ps заказ быть pl <dact>
когда у маленький дед мороз весь подарок быть готовый остальной вс думать что снова надо будет ехать дарить ребенок подарок возвращаться домой что это очень скучно	где учиться родной дом семья возвращать дом семья indx сильно	3ps подарок похоже готово clf clf.коробки clf.расставить готово это ждать все дед.мороз неинтересно опять2 не.хотеть ехать.поездом дети подарок pl назад домой не.хотеть похоже неинтересно поэтому думать обсудить пусть
еще раз хотеть сказать что каждый момент свой жизнь нужно наполнять радость	что каждый человек наполнять радость на наполнять радость что каждый день трудно	еще раз хотеть сказать каждый момент свой жизнь нужно наполнять радость
костик и мишка сказать тоже где ты быть что с ты приключаться рассказывать	ты так оставить тоже мочь и мишка сказать что с ты искупать	еще <dact> <dact> 3ps спрашивать 1ps тоже где был случай что 2ps рассказывать 1ps
семен по путь с работа забирать дочка из садик и к ужин они всегда быть дом но не в этот злосчастный день	indx так оставить дочка из садик испытный дом семья indx не мо	<dact> работать clf clf.человек clf.идет 1ps забирать 3ps дочь и-з дети <dact> и вечер всегда2 домой еда стол н-о попадать день беда
и по свисток начинать собирать человек на съезд в москва начинаться беготня в общий постанавливать собирать человек в москва в июль год	Москва начинать собрание июль год действий постанавливать человек в июль	и свистеть начинать clf clf.люди clf.собираются clf.в clf.одном clf.месте съезд москва попал беготня общий постановить clf clf.люди clf.приходят москва <dact> <nums> год2 <dact> clf clf.люди clf.приходят
как жираф	что главный жираф	жираф похоже
смотреть результат быть	результат смотреть результат indx смотреть результат indx смотреть результат indx смотреть результат indx смотреть	смотреть иметь результат
краудфандинг	царьфандинг	<dact>
когда вы себя насиловать унижать у вы нет уважение к себя вы не в состояние что-то давать	если вы себя не мочь восприятие 1ps : 3ps : 3ps :	похоже отдавать.себя себе унижение себе уважать 1ps нет2 похоже 1ps не мочь давать pl
однажды они зайти в лесной глушь	ни за искать в лесной глушь	вдруг лес внутри
мама он сразу начало учить я жизнь что я должный муж беспрекословно во весь слушаться и сразу выполнять весь что он требовать	что надеяться что я выполнять я главный2 я выполнять2	мама poss 3ps начинать 3ps учить2 1ps <dact> жизнь что 1ps муж должен был послушный2 3ps заказывать 1ps 3ps приказать 1ps 3ps требовать 1ps 1ps выполнить
я работать уже давно с начало создание адаптиса	я работать уже давно с начало создавать уже давно с начал	1ps стаж2 давно все4 работать2 когда начинать создавать2 sn
без знание жестовый язык этот ребенок не являться CODA	результат indx знание жестовый язык не мочь	жестовый.язык не.знать считать2 н-е кода нет 3ps
нордис в г новосибирск	норисс в г новосибирск в г новосибирск в г новосибирск в г новосибирск	<dact> новосибирск здесь
благодаря плодоножка вишня в организм не накапливаться лишний жидкость а в жировой ткань активизироваться процесс микроциркуляция	благодаря не называть лишний жидкость жидкость жидкость жидкость	еще clf clf.плодоножка indx indx н-е 3ps давать 1ps добавлять жидкий лишний внутри.себя и активный промежуток.времени управлять <dact> внутри.себя ткань
они поехать в приют и предлагать вместе с они собака пойти на долгий прогулка	ищет ищет на долгий прогулка покидать ведро прогул	<dact> поехать место <dact> и нейтр.имп вместе собака poss 3ps забирать и гулять долго
я вс учитывать и тогда я получать удовольствие от работа потому что она быть в кайф	я всучить удовольствие отъезд 2001 2005 2009 2009 2009 2009 2009 2009 2009 2009	1ps все считать2 и 3ps pl удовольствие 1ps работать почему indx кайф3
вообще весь человек журналист ленивый	результат indx ленивый человек ленивый человек ленивый человек ленивый человек	все журналист все человек pl ленивый все
я удаваться оформлять кредит благодаря то что в банк к мой проблема относиться с понимание	я удалять банк к мочь понимание относительно сильно проблема относительно	1ps мочь2 оформлять кредит почему благодаря понимать 1ps есть проблема2
готовый	готовый готовый готовый	готовый
потом няня становиться жалко кролик но доктор сказать надо сжигать и давать новый	няня сказать жалко кролик indx так оставить нормально главный кролик	потом 2ps няня2 смотреть жаль врач2 спрашивать доктор2 indx кролик indx так огонь новый давать
но вы сам понимать что связь у я не так много но то не менее шанс уже быть у вы быть шанс получать помощь	indx так оставить2 шанс indx плюс шанс indx плюс шанс indx 	н-о у 1ps понимать2 зависеть мало временный есть 2ps pl <dact> есть радость 2ps спрашивать 1ps
и плюс всегда развиваться учиться идти вперед	плюс все плюс все плюс все плюс все плюс все плюс все	и плюс всегда развитие учиться идти.вперед
и если милиция я не находить	если милиция я не называть милиция испытывать милиция и	вдруг indx милиция 1ps 1ps искать 3ps успех нет
спонсор готовый платить я выполнять проект в это город нехватать мыло я сообщать спонсор получать мыло и раздавать	попугай готовить мочь я выполнять мыло и раздавать мыло	платить2 согласие постоянный платить2 1ps проект выполнять сдать pl город indx не.хватать 1ps объявлять 3ps clf clf.взять clf.мыло сдать pl
сейчас глухой начинать активно заниматься индивидуальный предпринимательство и это плюс потому что они становиться независимый	результат indx глубоко мир начинать нормально главный плюс плюс плюс плюс	все и-п мочь indx плюс потому что свой зависимость не
они наблюдать и чувствовать что необходимо создавать общество для ребенок CODA	и наблюдать что необходимость общество для ребенок плюс ребенок	смотреть pl чувствовать что нужно создавать2 общество группа для кода
либо где можно находить спонсор чтобы получаться сокращать количество деньги и расход быть по ноль	где шить2 деньги плюс деньги плюс деньги плюс деньги	или где можно находить спонсор что составлять получаться деньги кратко расходы ничего
кто-то печ т торт кто-то фотографировать работать в такси и развивать автопарк кто-то заниматься ремонт	кто-то фотографировать автопарк кто-то-то-то-то-	кто торт печь кто фотография2 достигать кто такси подготовка автомобиль <dact> развитие кто ремонт
я очень рад что быть выбор профессия специальность	я сильно благодарить выбор специальность	1ps очень радостный есть выбор профессия специальность
она помогать она заниматься научать готовить печь шить они часто вместе гулять ходить в музей и на выставка	есть уже группа помощать готовить печь шить2 шить2 шить	помощь учиться 1ps учить2 3ps готовить пирожки пирог шить вместе часто прогулка музей выставка смотреть2
также от до процент калорийность идти на пищеварение	также от до год калорийность идти на пищеварение	еще о-т <nums> до <nums> процент <dact> мы тратить н-а пищеварение
многий из они еще и работать переводчик в вуз	indx уже работать переводчик или русский русский русский русский русский	и 3ps pl переводчик много посетить <dact> переводить работать посещать.и.то.и.это
встреча	есть встретить встрева	встретить
я говорить что нужно сюда а он в другой место доставлять	я говорить что необходимость аемое аённый город вчера 1ps 	1ps не 1ps indx доставка 3ps 1ps 3ps не indx
гость ничто не купить к чай	гостиь ничто купить к чай	гость pl ничего3 деньги не <dact> чай indx
это он собака	это уже собака	это poss 3ps собака
да да постоянно калька	да : да : да	да да калька2 pl
я состоять в ассоциация слышать гид	я собрать васса слышащий гид слышащий гид	1ps есть включать содружество <dact> проводить <dact> слышащий включать
дом красиво украшаться весь делать друг друг подарок вместе играть и танцевать	дом семья украшать весь и танцевать	дом красивый украшать все делать подарок подарок2 все семья игра танцевать
мы отда м себя полностью и жд м любовь к себя	мы издавать мять мять мять мять мять	отдавать.себя pl ждать2 любить себе
важный использовать бальзам если волос повреждать и торчать	если важный использовать и торчать и торчать и торчать	бывает clf clf.волосы clf.торчат получаться clf clf.волосы clf.повреждены волосы clf clf.волосы clf.повреждены получается clf clf.волосы clf.повреждены сломанный clf clf.волосы clf.торчат получаться
не ловко ну да ладно	ловко ловко ловко ловко ловко ловко	неудобно2 ладно
как это на жестовый передавать	что так оставить на жестовый передавать	жест как передавать
солдат посолить и снова попробовать	студент посолить и снова попробовать и русский попробовать и	солдат немного солить новый пробовать
ведь это самый настоящий кошмар	сам2 clf где есть самый настоящий настоящий настоящий настоящ	страшный будет
допускать к вы приш л пациент со свой проблема и вы выяснять что у он быть психосоматический влияние	indx вызывать к выгоду л человек сопоставлять к выгодущее время мочь	случай пример человек clf clf.человек clf.приближается у 3ps есть проблема2 3ps видеть что у 3ps есть мозг <dact>
выделять деньги на школа	есть вылять деньги на школа	школа clf clf.выделять clf.деньги
когда вы чувствовать себя хорошо и человек вокруг вы чувствовать себя хорошо уровень жизнь качественно поменяться	где вы чувствовать себя нормально главный нормально главный2 нормально глав	1ps хорошо 1ps делать для 3ps pl <dact> себе приятный все себе чувствовать хорошо жизнь уровень изменять
давать поговорить по душа	по душа давать поговорить по душа душа	нейтр.имп. общаться душа
у он быть одежда	мы жевать одежда	одежда2 нет одежда2 у 3ps есть
на следующий день они вдвоем встречаться с орел	результат indx группа ведроем встретить с орализованный день гари ведроем	следующий день двое встреча орел встреча
я из семья глухой мой мама и папа глухой	я из семья глубоко мир и глухой родной дом семья глухой	1ps семья глухой poss 1ps мама папа глухой
спрашивать у лощадь как быть всегда вместе с мальчик	есть всегда спрашивать улицать всегда сильно	обратиться мальчик вместе indx нет
когда быть просить мало деньги то и грант вы легко давать	где есть просить много деньги то деньги плюс деньги плюс деньги	<dact> деньги мало просить деньги мало грант легко
находить	нахождение на ходить нахождение	находить
састье слышать	састье слышащий састье слышащий састье слыш	счастье слышать
говорить	говорить говорить на говорить	говорить
вога кормить себя плюс еще инвалид кормить	подводная кормить себя плюс плюс плюс плюс плюс плюс	indx <dact> себя 1ps кормить 1ps плюс еще инвалид кормить 3ps
когда знать что быть резерв на душа спокойно а когда потратиться переживать лишний раз вдруг увольнять	где знать что действительно душа нормально сильно увольнять сильно у	знать копить indx 1ps на.душе.спокойно 1ps выбросить переживать вдруг уволить думать лишний
я всерьез это никогда не воспринимать но когда увидеть он возмужать взрослый почувствовать как защемлять сердце	я всерьезовать не мочь воспринимать сердце	1ps <dact> серьезно воспринимать нет и видеть сегодня2 взрослый 1ps нравиться
мужчина схватывать чемодан в один рука сумка в другой и на ход потому что поезд уже начинать медленно ехать вскакивать на ступенька	человек схватывать чемоданный ступняк indx схватывать чемоданный ступ	мужчина2 взять <dact> clf clf.сумка clf.взять сумка clf clf.бежать что поезд начать clf поезд ехать и clf clf.человек clf.прыгнуть ступенька
деньги я не давать но выписывать рекомендательный письмо письмо поддержка начальство поставлять печать	результат indx деньги поставлять печать	1ps согласиться письмо поддерживать согласиться заполнять администратор печать качественный clf clf.держать clf.письмо clf.в clf.руке хорошо
в конец июнь начало июль уже созревать вишня черешня абрикос	черепаха уже созревать вишня черепаха уже созревать вишня чере	clf clf.плод clf.pl готовый последний3 июнь начинать июль indx вишня <dact> <dact>
сахар в кровь расти а вслед за этот расти и количество инсулин	сахар вчера сахар вчера сахар расти и количество инсулин	сахар в красный увеличивать множественный и плюс множественный <dact> добавлять pl
не то чтобы он не хотеть я слушать но просто он вс это быть безразлично	indx не мочь я слушать но все нормально главный2 все нормально глав	мальчик н-е только не хотеть 1ps слушать тоже 3ps безразличие
он думать лишь о музыка а всякий знать что искусство эгоистично	если говорить лишь о музыка а о музыка а сильность	3ps думать только2 о музыка все знать искусство indx только2 думать о себя pl
а ефросинья петровна надо я видно просыпаться от это грохот	а ефрасина просыпчать отрезина нормально я нормально	<dact> <dact> открыть.глаза
можно делать сковоречник	если делать сковоречник плюс сковоречник делать сковор	мочь делать дом для птица
когда реб нок чувствовать что он не один он начинать по-другому относиться к свой родитель открываться он	если человек чувствовать по-другому плюс не мочь по-другому	1ps <nums> нет 1ps чувствовать открытый и начать относиться папа п-о другой
очень довольный	уже сильно беспокоящий нормально нормально нормально нормально нормально нормально	очень довольно
за этот три год в инкубатор вы расти и становиться сильный но кроме этот пункт который я уже объяснять быть и другой способ получать деньги на свой проект	что дети трудно пример завод испытывать деньги на русский плюс русский	год <nums> выпускать2 <dact> родиться больше уже сильный выпускать2 это множественный мочь другой талантливый 2ps проект есть все включено делать карьера
я звать елена	я звать елена	здравствуйте 1ps имя <dact>
утом помогать запускать обмен вещество на максимальный скорость работа щитовидный железа давать прилив энергия и хороший настроение а вечер наоборот успокаивать настраивать на хороший сон и защищать от обжорство и ускорять расход жир из наш запас	результат indx дисциплина поддерживать приливый комплекс и защищать отрезченный	утро помогать 1ps clf clf.организм clf.процесс clf.начать максимум скорость clf clf.организм clf.процесс clf.работать работать2 щитовидная.железа ш clf clf.щитовидная clf clf.организм clf.процесс энергия clf clf.организм clf.процесс и настроение хорошо а вечер2 наоборот успокоить слабость спать хорошо защищать о-т еда pl нервный отсутствие <dact> тратить запас быстрый
ну вот же у ты готовый ответ	ни желание готовить ответ	готовый ответ
я заканчивать учиться пойти работать туда где быть глухой	я заканчивать учиться дисциплина где есть глубоко мирная дисциплина читься	1ps учиться конец поступать2 работать2 место глухой
вот	вот вот вот вот вот вот вот вот вот	здесь
потом я подзывать свой ребенок который знать жестовый язык он весело подходить ко я	заем я подзывать себя конец indx родной дом семья indx родной	потом ребенок poss 1ps ребенок нейтр.имп ребенок оживленный нейтр.имп 1ps жестовый язык знать clf clf.подойти нейтр.имп
начинать дуть ветер	начинать дуть ветер	ветер pl начинать
в холодильник нет еда	в холодильник нет еда	холодно indx еда нет2 ноль скелет2
что же делать	что жевать что же делать что же делать что же делать что же делать	что делать
ты бояться даже ветер	ты бояться даже ветер	2ps бояться даже ветер
в понедельник мы быть проводить прямой эфир	результат indx мы наблюдать прямой эфир	у 1ps будет понедельник завтра будет проводить п-э
Ещ дедушка с антон хотеть сделать семейный древо	щь сделать семейный древо	еще дедушка вместе <dact> желание делать дерево ветвь pl семья
семья это сложный но жить один невозможно	семья это трудно жить нормально жить нормально жить нормально жить	семья это сложный н-о счастье жить <nums> невозможный
конечно нужно чтобы кто-то вызывать скорый помощь	нормально нуждавать скорый помощь	конечно нужно чтобы кто заметить indx вызвать <nums>
тома находить в себя сила прощать муж хоть и даваться она это нелегко	есть тоже мочь мужья испытывать мужик испытывать сильно	<dact> успех себя сильный прощать2 мальчик муж действительно был тяжелый
работник китайский магазин в нью-йорк взять он в магазин и он оставаться там на год	профессионал взять это на нью-йорк взять это уже фирма	магазин нью-йорк китай магазин взять и оставить <nums> время
вечерний капсула пролонгировать лимфодренажный эффект получать на первый шаг	результатный капсула пролонгировать лимфодренатый капсула пролонгировать лимф	вечер капсула indx <dact> жидкий 1 <dact> был 3ps давать 1ps indx управлять clf clf.выравнивать
да вредить	давать вредить да	наносить.вред
борис джонсон болеть в март	джонсон болдеть вчера вчера джонсон болеть в март 2017	3ps <dact> <dact> заболеть был <dact>
сестра пойти на бал а я нет	сестра покидать на бал а я нет на блин я нет на	сестра двое уезжать бал 1ps не будет
